Exchange,Symbol,Shortname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,Weight
NMS,AAPL,Apple Inc.,Technology,Consumer Electronics,229,3.48174E+12,1.31781E+11,0.049,0.066418684
NMS,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,417.14,3.10062E+12,1.29433E+11,0.152,0.059148313
NMS,NVDA,NVIDIA Corporation,Technology,Semiconductors,119.37,2.92815E+12,61184000000,1.224,0.055858183
NMS,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,163.38,2.02127E+12,1.15478E+11,0.136,0.038558387
NMS,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,165.11,2.0204E+12,1.15478E+11,0.136,0.038541778
NMS,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,178.5,1.87346E+12,1.04049E+11,0.101,0.035738765
NMS,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,521.31,1.31882E+12,74774003712,0.221,0.025158209
NYQ,BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,475.92,1.02641E+12,1.0009E+11,0.012,0.019580138
NYQ,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,960.02,8.64427E+11,15501899776,0.36,0.016490065
NMS,AVGO,Broadcom Inc.,Technology,Semiconductors,162.82,7.57908E+11,21290999808,0.164,0.014458069
NMS,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,214.11,6.84004E+11,12177999872,0.023,0.01304827
NYQ,JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,224.8,6.39592E+11,,0.317,0.012201046
NYQ,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,77.23,6.21203E+11,40678998016,0.048,0.011850246
NYQ,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,590.2,5.45001E+11,34818998272,0.064,0.010396607
NYQ,V,Visa Inc.,Financial Services,Credit Services,276.37,5.37783E+11,24384000000,0.096,0.010258906
NYQ,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,117.94,5.23987E+11,70902996992,0.12,0.009995738
NYQ,MA,Mastercard Incorporated,Financial Services,Credit Services,483.34,4.46526E+11,16243999744,0.11,0.00851807
NYQ,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,171.54,4.03069E+11,23843999744,-0.001,0.007689068
NYQ,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,165.86,3.99265E+11,31036999680,0.043,0.007616494
NMS,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,892.38,3.95623E+11,11242999808,0.091,0.007547027
NYQ,ORCL,Oracle Corporation,Technology,Software - Infrastructure,141.29,3.89375E+11,21226999808,0.033,0.007427841
NYQ,HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,368.5,3.66028E+11,24578000896,0.006,0.006982467
NYQ,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,196.31,3.4675E+11,26121000960,0.043,0.006614709
NYQ,BAC,Bank of America Corporation,Financial Services,Banks - Diversified,40.75,3.16203E+11,,-0.008,0.00603198
NYQ,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,72.47,3.12336E+11,14906999808,0.033,0.00595822
NMS,NFLX,"Netflix, Inc.",Communication Services,Entertainment,701.35,3.00995E+11,8993561600,0.168,0.005741867
NYQ,MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,118.45,3.00248E+11,23631998976,0.072,0.005727624
NYQ,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,147.95,2.68492E+11,41003999232,0.048,0.005121838
NMS,ADBE,Adobe Inc.,Technology,Software - Infrastructure,574.41,2.54693E+11,7843999744,0.102,0.004858606
